Job Title,Description_Keywords,Responsibilities_Keywords,Qualifications_Keywords
Software Engineer,"['software', 'write', 'code', 'quality', 'deliver']","['write', 'maintainable', 'scalable', 'code', 'optimal']","['web', 'attention', 'java', 'languages', 'development']"
Data Scientist,"['data', 'scientist', 'predictive', 'provide', 'complex']","['predictive', 'science', 'outcomes', 'communicate', 'analytics']","['data', 'power', 'tableau', 'machine', 'visualization']"
Product Manager,"['product', 'roadmaps', 'products', 'new', 'lead']","['product', 'create', 'closely', 'customer', 'engineering']","['management', 'familiarity', 'making', 'market', 'product']"
Cloud Engineer,"['cloud', 'enhance', 'collaborating', 'efficiently', 'based']","['cloud', 'security', 'architecture', 'deployments', 'costs']","['cloud', 'cloudformation', 'code', 'infrastructure', 'terraform']"
Cybersecurity Analyst,"['data', 'networks', 'threats', 'protective', 'protect']","['security', 'threats', 'risk', 'assessments', 'protocols']","['security', 'like', 'risk', 'siem', 'plus']"
Machine Learning Engineer,"['train', 'innovation', 'world', 'large', 'algorithms']","['models', 'ai', 'ml', 'production', 'meaningful']","['data', 'scikit', 'deployment', 'mindset', 'preprocessing']"
DevOps Engineer,"['operations', 'responsible', 'streamline', 'deployment', 'automating']","['like', 'terraform', 'operations', 'deployment', 'ansible']","['cloud', 'configuration', 'ansible', 'kubernetes', 'puppet']"
Full Stack Developer,"['web', 'optimized', 'stack', 'frontend', 'backend']","['backend', 'web', 'technologies', 'new', 'modern']","['version', 'react', 'restful', 'services', 'nosql']"
Big Data Engineer,"['data', 'technologies', 'workflows', 'analyzing', 'computing']","['data', 'big', 'storage', 'support', 'retrieval']","['data', 'scala', 'processing', 'hadoop', 'spark']"
AI Researcher,"['ai', 'research', 'researcher', 'applying', 'cutting']","['ai', 'learning', 'nlp', 'publish', 'tier']","['ph', 'pytorch', 'research', 'optimization', 'tensorflow']"
Database Administrator,"['database', 'health', 'troubleshoot', 'measures', 'integrity']","['database', 'recovery', 'resolve', 'perform', 'backups']","['database', 'mysql', 'mongodb', 'oracle', 'postgresql']"
Network Engineer,"['network', 'troubleshooting', 'connectivity', 'availability', 'optimizing']","['network', 'routers', 'switches', 'networking', 'standards']","['networking', 'routers', 'protocols', 'pressure', 'tcp']"
Software Architect,"['software', 'experienced', 'maintainable', 'architect', 'architecture']","['design', 'reviews', 'architectures', 'robust', 'industry']","['practices', 'devops', 'expertise', 'microservices', 'patterns']"
Blockchain Developer,"['applications', 'protocols', 'smart', 'contracts', 'cryptographic']","['blockchain', 'smart', 'secure', 'implementations', 'existing']","['technology', 'solidity', 'smart', 'ethereum', 'hyperledger']"
IT Project Manager,"['timely', 'scope', 'risks', 'project', 'projects']","['project', 'resources', 'risks', 'budgets', 'progress']","['waterfall', 'proven', 'scrum', 'project', 'communication']"
Business Intelligence Analyst,"['reports', 'effectively', 'findings', 'dashboards', 'generate']","['data', 'bi', 'dashboards', 'driven', 'drive']","['data', 'analytics', 'analysis', 'statistical', 'power']"
Robotics Engineer,"['robotics', 'robotic', 'motion', 'control', 'hardware']","['robotic', 'systems', 'robotics', 'sensors', 'navigation']","['robotics', 'ros', 'robot', 'operating', 'planning']"
Embedded Systems Engineer,"['systems', 'time', 'various', 'programming', 'microcontrollers']","['embedded', 'power', 'real', 'time', 'integration']","['engineering', 'microcontrollers', 'hardware', 'linux', 'rtos']"
Quality Assurance Engineer,"['testing', 'software', 'processes', 'conducting', 'bugs']","['testing', 'software', 'timely', 'cases', 'document']","['testing', 'sdlc', 'selenium', 'testng', 'lifecycle']"
UX/UI Designer,"['user', 'visually', 'ux', 'ui', 'stakeholders']","['user', 'design', 'refine', 'prototypes', 'implementation']","['design', 'principles', 'sketch', 'understanding', 'xd']"
